oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr
ZTF17aaaeqms,2023-05-27,bad,98.0,17.58392,19.228844,17.8321553,17.92053525,18.0116685,18.22581075,18.56536755,0.058496593103781,98.0,17.58392,19.228844,17.8321553,17.92053525,18.0116685,18.22581075,18.56536755,0.058496593103781
ZTF17aaaeucx,2025-01-19,bad,22.0,19.44464,24.400575637817383,20.032027339935304,20.481993675231934,21.447725296020508,22.8561544418335,23.800644779205324,0.0,1.0,19.44464,19.44464,19.44464,19.44464,19.44464,19.44464,19.44464,0.0
ZTF17aaakbyl,,good,6.0,18.8445,21.83065414428711,19.127625774383542,20.0572509765625,20.81678295135498,21.37951803207397,21.721532344818115,0.4652245206897631,1.0,18.8445,18.8445,18.8445,18.8445,18.8445,18.8445,18.8445,0.0
ZTF17aaakyau,2025-02-02,bad,19.0,19.580053329467773,22.26299476623535,19.706567764282223,19.8914365166626,20.669267654418945,21.03312110900879,21.55935649871826,0.0,2.0,19.878922,19.901142,19.880033,19.884477,19.890032,19.895587,19.900031,0.0
ZTF17aaapmss,2023-11-04,bad,11.0,18.673641,19.389822,18.740383,18.834072,18.887829,18.925891,19.1896955,0.0201693779810751,11.0,18.673641,19.389822,18.740383,18.834072,18.887829,18.925891,19.1896955,0.0201693779810751
ZTF17aabqcyh,2023-09-11,bad,8.0,20.036156,20.735909,20.1013442,20.245802,20.363106,20.44941,20.68270585,0.0020882419255829,8.0,20.036156,20.735909,20.1013442,20.245802,20.363106,20.44941,20.68270585,0.0020882419255829
ZTF17aabvong,,good,111.0,16.705976486206055,27.592967987060547,16.774736404418945,17.52126478302002,18.834223,19.754556950378426,23.121726989746094,0.0,31.0,16.7995,20.077154,16.805344499999997,17.2335335,18.018269,19.4413,19.909745,1.304935403464655
ZTF17aacldgo,2022-11-12,bad,16.0,18.7965,19.238098,18.7975635,18.81699875,18.869435000000003,18.994321,19.1917495,0.0011823802984169,16.0,18.7965,19.238098,18.7975635,18.81699875,18.869435000000003,18.994321,19.1917495,0.0011823802984169
ZTF17aacnhue,2025-05-10,bad,19.0,19.243567,23.307092666625977,19.25628838640137,19.43846416473389,19.678158,21.27721691131592,22.94143161773681,0.4700393900680124,4.0,19.243567,20.320955,19.2649225,19.3503445,19.5320475,19.83885725,20.22453545,0.1957526281642458
ZTF17aacpbmv,,good,33.0,17.713268280029297,20.501049041748047,17.770332830126954,17.916517,18.564835,19.397415,19.98452796936035,0.6024293939857228,16.0,17.772697,19.697033,17.77697575,17.9055245,18.5527545,18.989797000000003,19.53173075,0.4352460907166028
ZTF17aadcedu,,good,51.0,19.1853084564209,25.999942779541016,19.24744215777588,19.35626103479004,19.601024627685547,21.489959716796875,23.680603981018063,0.0,16.0,19.191984,19.866,19.2343815,19.327491,19.4108095,19.52905,19.84605,0.0195418449215259
ZTF17aadtxay,2023-05-01,bad,2.0,19.223032,19.497046,19.2367327,19.2915355,19.360039,19.4285425,19.4833453,0.009919738226772,2.0,19.223032,19.497046,19.2367327,19.2915355,19.360039,19.4285425,19.4833453,0.009919738226772
ZTF18aaahyvk,2023-08-29,bad,12.0,18.651932,19.68639,18.6577048,18.705015,18.772086,18.9139825,19.4923115,0.0816768065668966,12.0,18.651932,19.68639,18.6577048,18.705015,18.772086,18.9139825,19.4923115,0.0816768065668966
ZTF18aaaiziz,,good,15.0,19.71884,29.18901824951172,19.7228853,19.82609928289795,20.09027099609375,24.513028144836422,27.465942764282225,6.541259409788856,4.0,19.71884,19.885103,19.71970685,19.72317425,19.7251445,19.765528250000003,19.86118805,0.0
ZTF18aaamrfa,2023-05-13,bad,1.0,19.67945,19.67945,19.67945,19.67945,19.67945,19.67945,19.67945,0.0,1.0,19.67945,19.67945,19.67945,19.67945,19.67945,19.67945,19.67945,0.0
ZTF18aaanaev,,good,15.0,18.8924,20.57108,18.9216866,19.1173105,19.321037,19.5537665,20.169364,0.1747849051760795,15.0,18.8924,20.57108,18.9216866,19.1173105,19.321037,19.5537665,20.169364,0.1747849051760795
ZTF18aaanafv,,good,1.0,20.144056,20.144056,20.144056,20.144056,20.144056,20.144056,20.144056,0.0,1.0,20.144056,20.144056,20.144056,20.144056,20.144056,20.144056,20.144056,0.0
ZTF18aaaokpa,2023-06-10,bad,7.0,19.454184,20.12695,19.4696493,19.509469000000003,19.593126,19.6874305,20.0146843,0.0192124460879867,7.0,19.454184,20.12695,19.4696493,19.509469000000003,19.593126,19.6874305,20.0146843,0.0192124460879867
ZTF18aaapzdr,2023-05-16,bad,2.0,19.543318,19.6794,19.5501221,19.5773385,19.611359,19.6453795,19.6725959,0.0,2.0,19.543318,19.6794,19.5501221,19.5773385,19.611359,19.6453795,19.6725959,0.0
ZTF18aaaqbhp,,good,17.0,18.861225128173828,25.01066780090332,18.871605025634764,19.257711,19.419174,19.64763832092285,24.717782974243164,0.0,7.0,18.8742,19.644741,18.9146676,19.1334015,19.326462,19.431729,19.5846039,0.0559076537941708
ZTF18aaaqeiu,,good,7.0,18.49532699584961,24.175689697265625,18.580122897094725,18.779352739562988,21.3076171875,21.38250541687012,23.35635166168213,0.0,1.0,18.77798,18.77798,18.77798,18.77798,18.77798,18.77798,18.77798,0.0
ZTF18aabkknh,,good,16.0,19.35465,24.225801467895508,19.376671666717527,19.49632725,19.591567,19.87254093161011,22.95605230331421,0.0,9.0,19.35465,19.984291,19.39375,19.486437,19.58205,19.75645,19.907309,0.0219280002286433
ZTF18aabklmk,2023-11-04,bad,12.0,19.216404,19.895351,19.21912705,19.263146,19.363493,19.460073,19.7331945,0.0185159331300275,12.0,19.216404,19.895351,19.21912705,19.263146,19.363493,19.460073,19.7331945,0.0185159331300275
ZTF18aabkrky,2024-04-07,bad,39.0,17.632132,100.0,17.727259766345217,18.16986393286133,21.028779983520508,100.0,100.0,0.0,10.0,17.632132,18.749746,17.67797395,18.023479,18.224889,18.41381575,18.61520905,0.1071640027772578
ZTF18aabnceq,,good,12.0,18.739866256713867,23.011764526367188,18.75167636871338,19.21416303173828,19.393007437133782,20.135765075683597,21.71331624984741,0.917431640971572,3.0,19.318174,19.436878,19.3248866,19.351737,19.3853,19.411089,19.4317202,0.0
ZTF18aabvwhq,2025-02-01,bad,21.0,20.60501480102539,21.550899505615234,20.716136932373047,20.851631,21.0796,21.184904098510746,21.529741287231445,0.0,6.0,20.851631,21.229977,20.8560795,20.92110275,21.077868,21.137725,21.21175775,0.0
ZTF18aacdebj,,good,20.0,18.650036,24.47597312927246,19.89389210456543,20.82329273223877,21.50471782684326,22.39300012588501,24.065334701538085,0.0,1.0,18.650036,18.650036,18.650036,18.650036,18.650036,18.650036,18.650036,0.0
ZTF18aacdgek,2025-02-27,bad,15.0,19.682056,23.436851501464844,19.7835058838623,19.949684143066406,20.216272354125977,20.98948764801025,22.70276527404785,0.0,1.0,19.682056,19.682056,19.682056,19.682056,19.682056,19.682056,19.682056,0.0
ZTF18aaceepu,,good,84.0,16.920696,20.058203,16.9751101,17.00137875,17.4383105,18.2923675,19.7396215,0.8965108674913714,84.0,16.920696,20.058203,16.9751101,17.00137875,17.4383105,18.2923675,19.7396215,0.8965108674913714
ZTF18aacihcb,2024-08-15,bad,15.0,19.533253,23.10439682006836,19.552531,19.7206555,19.9082,20.221267700195312,22.415294265747068,0.1516034309335142,6.0,19.533253,19.9082,19.540138,19.598014,19.7206555,19.8341185,19.89822,0.0
ZTF18aacjuxk,2023-09-25,bad,4.0,19.367352,19.66434,19.3696971,19.3790775,19.4094,19.4929455,19.6300611,0.0,4.0,19.367352,19.66434,19.3696971,19.3790775,19.4094,19.4929455,19.6300611,0.0
ZTF18aacmwsq,2023-11-04,bad,20.0,18.151342,21.13266372680664,18.3651471,18.61477647308349,19.399779,20.2131233215332,20.821928882598872,0.7992402785637439,11.0,18.151342,20.236156,18.263871,18.420121,18.810844,19.399779,20.2166545,0.5076435349893632
ZTF18aacoqxu,2024-11-09,bad,39.0,19.2993,25.16580390930176,19.40199222564698,19.631576000000003,19.835447311401367,22.010536193847656,24.03053932189942,0.0,11.0,19.2993,19.8976,19.357741,19.4771955,19.63279,19.7409215,19.8611,0.0039448669604847
ZTF18aacovhl,2022-11-16,bad,1.0,19.349693,19.349693,19.349693,19.349693,19.349693,19.349693,19.349693,0.0,1.0,19.349693,19.349693,19.349693,19.349693,19.349693,19.349693,19.349693,0.0
