oid,test,train_fold1,val_fold1,train_fold2,val_fold2,train_fold3,val_fold3,train_fold4,val_fold4,train_fold5,val_fold5
ZTF17aaaeqms,0,0,1,1,0,1,0,1,0,1,0
ZTF17aaaeucx,0,0,1,1,0,1,0,1,0,1,0
ZTF17aaakbyl,0,1,0,1,0,1,0,1,0,0,1
ZTF17aaakyau,0,1,0,0,1,1,0,1,0,1,0
ZTF17aaapmss,1,0,0,0,0,0,0,0,0,0,0
ZTF17aabqcyh,1,0,0,0,0,0,0,0,0,0,0
ZTF17aabvong,0,0,1,1,0,1,0,1,0,1,0
ZTF17aacnhue,1,0,0,0,0,0,0,0,0,0,0
ZTF17aadtxay,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaahyvk,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaaiziz,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaamrfa,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaanaev,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaaokpa,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaapzdr,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaaqbhp,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaaqeiu,0,1,0,1,0,1,0,1,0,0,1
ZTF18aabkknh,0,1,0,1,0,1,0,1,0,0,1
ZTF18aabklmk,0,1,0,1,0,0,1,1,0,1,0
ZTF18aabkrky,0,1,0,0,1,1,0,1,0,1,0
ZTF18aabvwhq,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacdebj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aacdgek,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaceepu,0,0,1,1,0,1,0,1,0,1,0
ZTF18aacihcb,0,0,1,1,0,1,0,1,0,1,0
ZTF18aacjuxk,1,0,0,0,0,0,0,0,0,0,0
ZTF18aacmwsq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aacoqxu,0,0,1,1,0,1,0,1,0,1,0
ZTF18aacovhl,0,1,0,1,0,1,0,1,0,0,1
ZTF18aacoyaq,0,1,0,1,0,1,0,1,0,0,1
ZTF18aacrrez,0,1,0,1,0,1,0,1,0,0,1
ZTF18aacsznp,0,1,0,1,0,1,0,0,1,1,0
ZTF18aacxoin,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaczmob,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaddctp,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaddnfu,0,0,1,1,0,1,0,1,0,1,0
ZTF18aadqirh,0,1,0,1,0,0,1,1,0,1,0
ZTF18aadsdvf,1,0,0,0,0,0,0,0,0,0,0
ZTF18aadsjbk,0,1,0,0,1,1,0,1,0,1,0
ZTF18aadsyhc,0,1,0,0,1,1,0,1,0,1,0
ZTF18aadwgzb,0,1,0,0,1,1,0,1,0,1,0
ZTF18aadwhqi,0,1,0,1,0,1,0,1,0,0,1
ZTF18aadxzti,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaebiks,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaebojt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaeeedp,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaehuyr,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaelskj,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaeopbs,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaescqn,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaetbho,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaetymf,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaewrjs,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaewypg,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaeztug,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaezzww,0,0,1,1,0,1,0,1,0,1,0
ZTF18aafctgp,0,1,0,1,0,1,0,1,0,0,1
ZTF18aafdigb,0,0,1,1,0,1,0,1,0,1,0
ZTF18aafgmet,0,1,0,1,0,0,1,1,0,1,0
ZTF18aafilvc,0,1,0,1,0,0,1,1,0,1,0
ZTF18aafoevl,0,1,0,0,1,1,0,1,0,1,0
ZTF18aafrbxo,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaftmdy,0,1,0,0,1,1,0,1,0,1,0
ZTF18aafvxaw,0,1,0,1,0,0,1,1,0,1,0
ZTF18aafymbz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aagaypc,1,0,0,0,0,0,0,0,0,0,0
ZTF18aagbswm,0,1,0,0,1,1,0,1,0,1,0
ZTF18aagensc,0,1,0,0,1,1,0,1,0,1,0
ZTF18aagfngu,0,1,0,0,1,1,0,1,0,1,0
ZTF18aagkwgz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaglgid,0,1,0,0,1,1,0,1,0,1,0
ZTF18aagnlqf,0,1,0,0,1,1,0,1,0,1,0
ZTF18aagzlqf,0,1,0,1,0,1,0,0,1,1,0
ZTF18aahfnbl,1,0,0,0,0,0,0,0,0,0,0
ZTF18aahpouv,1,0,0,0,0,0,0,0,0,0,0
ZTF18aahppeb,0,1,0,1,0,1,0,1,0,0,1
ZTF18aahqbgb,0,0,1,1,0,1,0,1,0,1,0
ZTF18aahsvxa,0,0,1,1,0,1,0,1,0,1,0
ZTF18aahsxpj,0,0,1,1,0,1,0,1,0,1,0
ZTF18aahvlhc,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaiijbb,0,1,0,1,0,1,0,1,0,0,1
ZTF18aailctq,0,1,0,1,0,1,0,1,0,0,1
ZTF18aailtum,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaiualk,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaiubas,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaiujdm,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaiulxh,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaiurth,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaivcct,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaivnak,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaiwsua,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaiwzie,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaiyebq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaizpod,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaiztdl,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaiztpr,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajapma,0,1,0,1,0,1,0,1,0,0,1
ZTF18aajauyi,0,1,0,1,0,1,0,1,0,0,1
ZTF18aajcsqi,0,0,1,1,0,1,0,1,0,1,0
ZTF18aajdcfy,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajdpdf,0,0,1,1,0,1,0,1,0,1,0
ZTF18aajfezy,1,0,0,0,0,0,0,0,0,0,0
ZTF18aajgiii,0,1,0,1,0,1,0,1,0,0,1
ZTF18aajgkyt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajhant,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajhlxa,1,0,0,0,0,0,0,0,0,0,0
ZTF18aajhzkn,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajifvt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajjoko,1,0,0,0,0,0,0,0,0,0,0
ZTF18aajkaql,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajkevi,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajkxyt,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajleme,0,0,1,1,0,1,0,1,0,1,0
ZTF18aajlilg,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajvqye,0,1,0,1,0,1,0,1,0,0,1
ZTF18aajyqbx,0,1,0,1,0,1,0,0,1,1,0
ZTF18aakdxos,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakeayh,0,1,0,1,0,0,1,1,0,1,0
ZTF18aakeoie,0,1,0,1,0,1,0,0,1,1,0
ZTF18aakipwm,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakitiq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aakiwxp,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaklnny,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakqshl,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakyddg,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakyear,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaltgfy,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaluzmq,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaluzrx,0,1,0,1,0,1,0,0,1,1,0
ZTF18aalvakd,0,1,0,1,0,1,0,1,0,0,1
ZTF18aalvhsj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aalxmdx,0,1,0,0,1,1,0,1,0,1,0
ZTF18aalxncv,0,0,1,1,0,1,0,1,0,1,0
ZTF18aamcwzy,0,1,0,0,1,1,0,1,0,1,0
ZTF18aamfybf,0,1,0,1,0,1,0,1,0,0,1
ZTF18aamqzlv,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamrbiv,0,0,1,1,0,1,0,1,0,1,0
