oid,test,train_fold1,val_fold1,train_fold2,val_fold2,train_fold3,val_fold3,train_fold4,val_fold4,train_fold5,val_fold5
ZTF17aaaeqms,0,1,0,1,0,1,0,0,1,1,0
ZTF17aaaeucx,0,1,0,0,1,1,0,1,0,1,0
ZTF17aaakbyl,0,1,0,0,1,1,0,1,0,1,0
ZTF17aaakyau,0,1,0,1,0,1,0,1,0,0,1
ZTF17aaapmss,0,1,0,1,0,0,1,1,0,1,0
ZTF17aabqcyh,0,0,1,1,0,1,0,1,0,1,0
ZTF17aabvong,0,1,0,0,1,1,0,1,0,1,0
ZTF17aacldgo,0,1,0,1,0,0,1,1,0,1,0
ZTF17aacnhue,0,1,0,1,0,1,0,0,1,1,0
ZTF17aacpbmv,0,1,0,1,0,0,1,1,0,1,0
ZTF17aadcedu,0,1,0,0,1,1,0,1,0,1,0
ZTF17aadtxay,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaahyvk,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaaiziz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaamrfa,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaanaev,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaanafv,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaaokpa,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaapzdr,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaaqbhp,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaaqeiu,0,0,1,1,0,1,0,1,0,1,0
ZTF18aabkknh,0,0,1,1,0,1,0,1,0,1,0
ZTF18aabklmk,0,1,0,1,0,1,0,1,0,0,1
ZTF18aabkrky,0,1,0,1,0,1,0,0,1,1,0
ZTF18aabnceq,0,1,0,1,0,1,0,1,0,0,1
ZTF18aabvwhq,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacdebj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacdgek,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaceepu,0,1,0,1,0,0,1,1,0,1,0
ZTF18aacihcb,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacjuxk,0,1,0,1,0,1,0,1,0,0,1
ZTF18aacmwsq,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacoqxu,0,1,0,1,0,1,0,1,0,0,1
ZTF18aacovhl,0,1,0,1,0,0,1,1,0,1,0
ZTF18aacoyaq,0,1,0,1,0,1,0,1,0,0,1
ZTF18aacrrez,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacsznp,0,1,0,0,1,1,0,1,0,1,0
ZTF18aacxoin,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaczmob,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaddctp,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaddnfu,0,1,0,1,0,1,0,1,0,0,1
ZTF18aadqirh,0,1,0,1,0,1,0,1,0,0,1
ZTF18aadsdvf,0,0,1,1,0,1,0,1,0,1,0
ZTF18aadsjbk,0,1,0,0,1,1,0,1,0,1,0
ZTF18aadsyhc,0,1,0,1,0,1,0,1,0,0,1
ZTF18aadwgzb,0,1,0,0,1,1,0,1,0,1,0
ZTF18aadwhqi,0,0,1,1,0,1,0,1,0,1,0
ZTF18aadxzti,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaebiks,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaebojt,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaeeedp,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaehuyr,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaelskj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaeopbs,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaescqn,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaetbho,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaetymf,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaewrjs,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaewypg,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaeztug,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaezzww,0,1,0,1,0,1,0,1,0,0,1
ZTF18aafctgp,0,1,0,1,0,1,0,1,0,0,1
