oid,veto_date,label
ZTF23abgzrmz,20230926,bad
ZTF23abhayrq,20230926,bad
ZTF23abgovnz,20230926,bad
ZTF23abfwupu,20230924,bad
ZTF23abgouvq,20230926,bad
ZTF23abgujxg,20230925,bad
ZTF18aacjuxk,20230925,bad
ZTF23abgspys,20230925,bad
ZTF23abgpokx,20230925,bad
ZTF18abxmxbh,20230925,bad
ZTF23abgsbph,20230925,bad
ZTF23abghkdc,20230925,bad
ZTF22aapwntl,20230925,bad
ZTF23abgoqxu,20230925,bad
ZTF23abefxhn,20230925,bad
ZTF23abcqbgu,20230925,bad
ZTF23abfubfc,20230925,bad
ZTF23abgcaqe,20230922,bad
ZTF23abgaebf,20230925,bad
ZTF23abgowtc,20230925,bad
ZTF23abgcfay,20230922,bad
ZTF23abgoccj,20230924,bad
ZTF23abgnvya,20230924,bad
ZTF23abgnwky,20230924,bad
ZTF20aclnecu,20230924,bad
ZTF23abgnpto,20230924,bad
ZTF23abgnpsc,20230924,bad
ZTF23abgnvxo,20230924,bad
ZTF23abgmnqv,20230924,bad
ZTF23abgncqj,20230924,bad
ZTF23abgmrkf,20230924,bad
ZTF23abgkpak,20230924,bad
ZTF23abglwrx,20230924,bad
ZTF23abglbib,20230924,bad
ZTF23abggjbd,20230924,bad
ZTF20abkheql,20230924,bad
ZTF23abgmsof,20230924,bad
ZTF23abfzbwx,20230924,bad
ZTF23abgloxq,20230924,bad
ZTF23abftpph,20230924,bad
ZTF23abfqthn,20230924,bad
ZTF23abejssh,20230919,bad
ZTF23abgavfp,20230922,bad
ZTF19abzifrq,20230919,bad
ZTF23abfyxdn,20230920,bad
ZTF23abfmipe,20230920,bad
ZTF23abfrdzy,20230920,bad
ZTF23abdztfr,20230916,bad
ZTF23abeujrk,20230919,bad
ZTF23aberops,20230919,bad
ZTF23abecyng,20230916,bad
ZTF23abdbxkh,20230916,bad
ZTF23abfnkjp,20230919,bad
ZTF23abfgaft,20230919,bad
ZTF18aaddctp,20230919,bad
ZTF23abehief,20230919,bad
ZTF23abdxree,20230919,bad
ZTF23abfbxtm,20230919,bad
ZTF20acldpjk,20230919,bad
ZTF23abeyczj,20230919,bad
ZTF23aberuma,20230919,bad
ZTF19aaiauvd,20230919,bad
ZTF23abdppqh,20230915,bad
ZTF23abdmrkk,20230919,bad
ZTF23abfhxfh,20230919,bad
ZTF23abeohho,20230919,bad
ZTF23abeocca,20230919,bad
ZTF23abemprl,20230919,bad
ZTF23abevydg,20230919,bad
